"","Stream.Name","Station.Name","Parameter","Date","Comments","Rain.in.Last.24.Hours","Sky.Condition","Final_Value","Year","Month"
"35","Ellerbe Creek","EL1.9EC","Dissolved Oxygen",2020-02-04," ","No","Partly Cloudy",8.9,"2020",2
"36","Ellerbe Creek","EL1.9EC","Dissolved Oxygen",2020-03-03," ","No","Overcast",9.6,"2020",3
"37","Ellerbe Creek","EL1.9EC","Dissolved Oxygen",2020-05-12,"Due to COVID-19 safety constraints, only the Nutrient Loading sites were sampled in May 2020","No","Partly Cloudy",8.5,"2020",5
"38","Ellerbe Creek","EL1.9EC","Dissolved Oxygen",2020-06-09,"Slight dead fish smell; Due to COVID-19 safety constraints, only the Nutrient Loading sites were sampled in May 2020 Slight dead fish smell; Due to COVID-19 safety constraints, only the Nutrient Loading sites were sampled in June 2020","No","Overcast",6.7,"2020",6
"39","Ellerbe Creek","EL1.9EC","Dissolved Oxygen",2020-07-07," ","Yes","Partly Cloudy",6.6,"2020",7
"40","Ellerbe Creek","EL1.9EC","Dissolved Oxygen",2020-08-04,"Heavy rains overnight from hurricane.","Yes","Partly Cloudy",6.8,"2020",8
"41","Ellerbe Creek","EL1.9EC","Dissolved Oxygen",2020-09-01," ","Yes","Overcast",6.4,"2020",9
"42","Ellerbe Creek","EL1.9EC","Dissolved Oxygen",2020-10-06," ","No","Sunny",7.9,"2020",10
"43","Ellerbe Creek","EL1.9EC","Dissolved Oxygen",2020-11-03,"Duplicate Site","No","Sunny",8.4,"2020",11
"44","Ellerbe Creek","EL1.9EC","Dissolved Oxygen",2020-12-01," ","Yes","Sunny",8.6,"2020",12
"45","Ellerbe Creek","EL1.9EC","Fecal Coliform",2019-01-08," ","No","Partly Cloudy",373,"2019",1
"46","Ellerbe Creek","EL1.9EC","Fecal Coliform",2019-02-05," ","No","Sunny",111,"2019",2
"47","Ellerbe Creek","EL1.9EC","Fecal Coliform",2019-03-05,"Duplicate Site Duplicate","Yes","Overcast",510,"2019",3
"48","Ellerbe Creek","EL1.9EC","Fecal Coliform",2019-04-02," ","No","Overcast",52,"2019",4
"49","Ellerbe Creek","EL1.9EC","Fecal Coliform",2019-05-07," ","No","Partly Cloudy",475,"2019",5
"50","Ellerbe Creek","EL1.9EC","Fecal Coliform",2019-06-05," ","No","Overcast",427,"2019",6
"51","Ellerbe Creek","EL1.9EC","Fecal Coliform",2019-07-09," ","Yes","Overcast",2000,"2019",7
"52","Ellerbe Creek","EL1.9EC","Fecal Coliform",2019-08-06," ","Yes","Overcast",31000,"2019",8
"53","Ellerbe Creek","EL1.9EC","Fecal Coliform",2019-09-03," ","No","Sunny",467,"2019",9
"54","Ellerbe Creek","EL1.9EC","Fecal Coliform",2019-10-01," ","No","Sunny",440,"2019",10
"55","Ellerbe Creek","EL1.9EC","Fecal Coliform",2019-11-05,"Duplicate Site Duplicate","No","Partly Cloudy",550,"2019",11
"56","Ellerbe Creek","EL1.9EC","Fecal Coliform",2019-12-03,"Organic foam on water surfaace","No","Sunny",197,"2019",12
"57","Ellerbe Creek","EL1.9EC","Fecal Coliform",2020-01-07," ","No","Overcast",120,"2020",1
"58","Ellerbe Creek","EL1.9EC","Fecal Coliform",2020-02-04," ","No","Partly Cloudy",81,"2020",2
"59","Ellerbe Creek","EL1.9EC","Fecal Coliform",2020-03-03,"Duplicate","No","Overcast",107.5,"2020",3
"60","Ellerbe Creek","EL1.9EC","Fecal Coliform",2020-05-12,"Due to COVID-19 safety constraints, only the Nutrient Loading sites were sampled in May 2020","No","Partly Cloudy",120,"2020",5
"61","Ellerbe Creek","EL1.9EC","Fecal Coliform",2020-06-09," ","","",115,"2020",6
"62","Ellerbe Creek","EL1.9EC","Fecal Coliform",2020-07-07," ","Yes","Partly Cloudy",2250,"2020",7
"63","Ellerbe Creek","EL1.9EC","Fecal Coliform",2020-08-04,"Heavy rains overnight from hurricane.","Yes","Partly Cloudy",38000,"2020",8
"64","Ellerbe Creek","EL1.9EC","Fecal Coliform",2020-09-01," ","Yes","Overcast",35000,"2020",9
"65","Ellerbe Creek","EL1.9EC","Fecal Coliform",2020-10-06," ","No","Sunny",140,"2020",10
"66","Ellerbe Creek","EL1.9EC","Fecal Coliform",2020-11-03,"Duplicate Site Duplicate","No","Sunny",660,"2020",11
"67","Ellerbe Creek","EL1.9EC","Fecal Coliform",2020-12-01," ","Yes","Sunny",2100,"2020",12
"68","Ellerbe Creek","EL1.9EC","pH",2019-01-08," ","No","Partly Cloudy",7.3,"2019",1
"69","Ellerbe Creek","EL1.9EC","pH",2019-02-05," ","No","Sunny",7.6,"2019",2
"70","Ellerbe Creek","EL1.9EC","pH",2019-03-05,"Duplicate Site","Yes","Overcast",7.4,"2019",3
"71","Ellerbe Creek","EL1.9EC","pH",2019-04-02," ","No","Overcast",7.6,"2019",4
"72","Ellerbe Creek","EL1.9EC","pH",2019-05-07," ","No","Partly Cloudy",7,"2019",5
"73","Ellerbe Creek","EL1.9EC","pH",2019-06-05," ","No","Overcast",7.5,"2019",6
"74","Ellerbe Creek","EL1.9EC","pH",2019-07-09," ","Yes","Overcast",7.4,"2019",7
"75","Ellerbe Creek","EL1.9EC","pH",2019-08-06," ","Yes","Overcast",7.3,"2019",8
"76","Ellerbe Creek","EL1.9EC","pH",2019-09-03," ","No","Sunny",7.6,"2019",9
"77","Ellerbe Creek","EL1.9EC","pH",2019-10-01," ","No","Sunny",7.5,"2019",10
"78","Ellerbe Creek","EL1.9EC","pH",2019-11-05,"Duplicate Site","No","Partly Cloudy",7.2,"2019",11
"79","Ellerbe Creek","EL1.9EC","pH",2019-12-03,"Organic foam on water surfaace","No","Sunny",7.5,"2019",12
"80","Ellerbe Creek","EL1.9EC","pH",2020-01-07," ","No","Overcast",7.4,"2020",1
"81","Ellerbe Creek","EL1.9EC","pH",2020-02-04," ","No","Partly Cloudy",7.2,"2020",2
"82","Ellerbe Creek","EL1.9EC","pH",2020-03-03," ","No","Overcast",7.3,"2020",3
"83","Ellerbe Creek","EL1.9EC","pH",2020-05-12,"Due to COVID-19 safety constraints, only the Nutrient Loading sites were sampled in May 2020","No","Partly Cloudy",7,"2020",5
"84","Ellerbe Creek","EL1.9EC","pH",2020-06-09,"Slight dead fish smell; Due to COVID-19 safety constraints, only the Nutrient Loading sites were sampled in May 2020 Slight dead fish smell; Due to COVID-19 safety constraints, only the Nutrient Loading sites were sampled in June 2020","No","Overcast",7.2,"2020",6
"85","Ellerbe Creek","EL1.9EC","pH",2020-07-07," ","Yes","Partly Cloudy",7.1,"2020",7
"86","Ellerbe Creek","EL1.9EC","pH",2020-08-04,"Heavy rains overnight from hurricane.","Yes","Partly Cloudy",6.2,"2020",8
"87","Ellerbe Creek","EL1.9EC","pH",2020-09-01," ","Yes","Overcast",6.6,"2020",9
"88","Ellerbe Creek","EL1.9EC","pH",2020-10-06," ","No","Sunny",7,"2020",10
"89","Ellerbe Creek","EL1.9EC","pH",2020-11-03,"Duplicate Site","No","Sunny",6.8,"2020",11
"90","Ellerbe Creek","EL1.9EC","pH",2020-12-01," ","Yes","Sunny",6.6,"2020",12
"91","Ellerbe Creek","EL1.9EC","Temperature",2019-01-08," ","No","Partly Cloudy",10.5,"2019",1
"92","Ellerbe Creek","EL1.9EC","Temperature",2019-02-05," ","No","Sunny",11.2,"2019",2
"93","Ellerbe Creek","EL1.9EC","Temperature",2019-03-05,"Duplicate Site","Yes","Overcast",9.1,"2019",3
"94","Ellerbe Creek","EL1.9EC","Temperature",2019-04-02," ","No","Overcast",11.6,"2019",4
"95","Ellerbe Creek","EL1.9EC","Temperature",2019-05-07," ","No","Partly Cloudy",19.3,"2019",5
"96","Ellerbe Creek","EL1.9EC","Temperature",2019-06-05," ","No","Overcast",22.7,"2019",6
"97","Ellerbe Creek","EL1.9EC","Temperature",2019-07-09," ","Yes","Overcast",25.5,"2019",7
"98","Ellerbe Creek","EL1.9EC","Temperature",2019-08-06," ","Yes","Overcast",24.5,"2019",8
"99","Ellerbe Creek","EL1.9EC","Temperature",2019-09-03," ","No","Sunny",24.5,"2019",9
"100","Ellerbe Creek","EL1.9EC","Temperature",2019-10-01," ","No","Sunny",24.5,"2019",10
"101","Ellerbe Creek","EL1.9EC","Temperature",2019-11-05,"Duplicate Site","No","Partly Cloudy",15.7,"2019",11
"102","Ellerbe Creek","EL1.9EC","Temperature",2019-12-03,"Organic foam on water surfaace","No","Sunny",10.9,"2019",12
"103","Ellerbe Creek","EL1.9EC","Temperature",2020-01-07," ","No","Overcast",9.5,"2020",1
"104","Ellerbe Creek","EL1.9EC","Temperature",2020-02-04," ","No","Partly Cloudy",12.9,"2020",2
"105","Ellerbe Creek","EL1.9EC","Temperature",2020-03-03," ","No","Overcast",14.2,"2020",3
"106","Ellerbe Creek","EL1.9EC","Temperature",2020-05-12,"Due to COVID-19 safety constraints, only the Nutrient Loading sites were sampled in May 2020","No","Partly Cloudy",14.6,"2020",5
"107","Ellerbe Creek","EL1.9EC","Temperature",2020-06-09,"Slight dead fish smell; Due to COVID-19 safety constraints, only the Nutrient Loading sites were sampled in May 2020 Slight dead fish smell; Due to COVID-19 safety constraints, only the Nutrient Loading sites were sampled in June 2020","No","Overcast",23.2,"2020",6
"108","Ellerbe Creek","EL1.9EC","Temperature",2020-07-07," ","Yes","Partly Cloudy",24.3,"2020",7
"109","Ellerbe Creek","EL1.9EC","Temperature",2020-08-04,"Heavy rains overnight from hurricane.","Yes","Partly Cloudy",23.4,"2020",8
"110","Ellerbe Creek","EL1.9EC","Temperature",2020-09-01," ","Yes","Overcast",24.9,"2020",9
"111","Ellerbe Creek","EL1.9EC","Temperature",2020-10-06," ","No","Sunny",17.7,"2020",10
"112","Ellerbe Creek","EL1.9EC","Temperature",2020-11-03,"Duplicate Site","No","Sunny",13.5,"2020",11
"113","Ellerbe Creek","EL1.9EC","Temperature",2020-12-01," ","Yes","Sunny",13.2,"2020",12
"114","Ellerbe Creek","EL1.9EC","Total Phosphorus",2019-01-08," ","No","Partly Cloudy",0.06,"2019",1
"115","Ellerbe Creek","EL1.9EC","Total Phosphorus",2019-02-05," ","No","Sunny",0.05,"2019",2
"116","Ellerbe Creek","EL1.9EC","Total Phosphorus",2019-03-05,"Duplicate Site Duplicate","Yes","Overcast",0.095,"2019",3
"117","Ellerbe Creek","EL1.9EC","Total Phosphorus",2019-04-02," ","No","Overcast",0.05,"2019",4
"118","Ellerbe Creek","EL1.9EC","Total Phosphorus",2019-05-07," ","No","Partly Cloudy",0.07,"2019",5
"119","Ellerbe Creek","EL1.9EC","Total Phosphorus",2019-06-05," ","No","Overcast",0.09,"2019",6
"120","Ellerbe Creek","EL1.9EC","Total Phosphorus",2019-07-09," ","Yes","Overcast",0.17,"2019",7
"121","Ellerbe Creek","EL1.9EC","Total Phosphorus",2019-08-06," ","Yes","Overcast",0.25,"2019",8
"122","Ellerbe Creek","EL1.9EC","Total Phosphorus",2019-09-03," ","No","Sunny",0.12,"2019",9
"123","Ellerbe Creek","EL1.9EC","Total Phosphorus",2019-10-01," ","No","Sunny",0.16,"2019",10
"124","Ellerbe Creek","EL1.9EC","Total Phosphorus",2019-11-05,"Duplicate Site Duplicate","No","Partly Cloudy",0.495,"2019",11
"125","Ellerbe Creek","EL1.9EC","Total Phosphorus",2019-12-03,"Organic foam on water surfaace","No","Sunny",0.09,"2019",12
"126","Ellerbe Creek","EL1.9EC","Total Phosphorus",2020-01-07," ","No","Overcast",0.09,"2020",1
"127","Ellerbe Creek","EL1.9EC","Total Phosphorus",2020-02-04," ","No","Partly Cloudy",0.11,"2020",2
"128","Ellerbe Creek","EL1.9EC","Total Phosphorus",2020-03-03,"Duplicate","No","Overcast",0.06,"2020",3
"129","Ellerbe Creek","EL1.9EC","Total Phosphorus",2020-05-12,"Due to COVID-19 safety constraints, only the Nutrient Loading sites were sampled in May 2020","No","Partly Cloudy",0.08,"2020",5
"130","Ellerbe Creek","EL1.9EC","Total Phosphorus",2020-06-09," ","","",0.15,"2020",6
"131","Ellerbe Creek","EL1.9EC","Total Phosphorus",2020-07-07," ","Yes","Partly Cloudy",0.11,"2020",7
"132","Ellerbe Creek","EL1.9EC","Total Phosphorus",2020-08-04,"Heavy rains overnight from hurricane.","Yes","Partly Cloudy",0.09,"2020",8
"133","Ellerbe Creek","EL1.9EC","Total Phosphorus",2020-09-01," ","Yes","Overcast",0.72,"2020",9
"134","Ellerbe Creek","EL1.9EC","Total Phosphorus",2020-10-06," ","No","Sunny",0.14,"2020",10
"135","Ellerbe Creek","EL1.9EC","Total Phosphorus",2020-11-03,"Duplicate Site Duplicate","No","Sunny",0.195,"2020",11
"136","Ellerbe Creek","EL1.9EC","Total Phosphorus",2020-12-01," ","Yes","Sunny",0.08,"2020",12
"137","Ellerbe Creek","EL1.9EC","Total Suspended Solids",2019-01-08," ","No","Partly Cloudy",4.4,"2019",1
"138","Ellerbe Creek","EL1.9EC","Total Suspended Solids",2019-02-05," ","No","Sunny",2.8,"2019",2
"139","Ellerbe Creek","EL1.9EC","Total Suspended Solids",2019-03-05,"Duplicate Site Duplicate","Yes","Overcast",10.4,"2019",3
"140","Ellerbe Creek","EL1.9EC","Total Suspended Solids",2019-04-02," ","No","Overcast",2.6,"2019",4
"141","Ellerbe Creek","EL1.9EC","Total Suspended Solids",2019-05-07," ","No","Partly Cloudy",7.7,"2019",5
"142","Ellerbe Creek","EL1.9EC","Total Suspended Solids",2019-06-05," ","No","Overcast",2.6,"2019",6
"143","Ellerbe Creek","EL1.9EC","Total Suspended Solids",2019-07-09," ","Yes","Overcast",7.3,"2019",7
"144","Ellerbe Creek","EL1.9EC","Total Suspended Solids",2019-08-06," ","Yes","Overcast",19.2,"2019",8
"145","Ellerbe Creek","EL1.9EC","Total Suspended Solids",2019-09-03," ","No","Sunny",2.5,"2019",9
"146","Ellerbe Creek","EL1.9EC","Total Suspended Solids",2019-10-01," ","No","Sunny",2.5,"2019",10
"147","Ellerbe Creek","EL1.9EC","Total Suspended Solids",2019-11-05,"Duplicate Site Duplicate","No","Partly Cloudy",2.5,"2019",11
"148","Ellerbe Creek","EL1.9EC","Total Suspended Solids",2019-12-03,"Organic foam on water surfaace","No","Sunny",4.5,"2019",12
"149","Ellerbe Creek","EL1.9EC","Total Suspended Solids",2020-01-07," ","No","Overcast",6.4,"2020",1
"150","Ellerbe Creek","EL1.9EC","Total Suspended Solids",2020-02-04," ","No","Partly Cloudy",4.3,"2020",2
"151","Ellerbe Creek","EL1.9EC","Total Suspended Solids",2020-03-03,"Duplicate","No","Overcast",4.35,"2020",3
"152","Ellerbe Creek","EL1.9EC","Total Suspended Solids",2020-05-12,"Due to COVID-19 safety constraints, only the Nutrient Loading sites were sampled in May 2020","No","Partly Cloudy",2.5,"2020",5
"153","Ellerbe Creek","EL1.9EC","Total Suspended Solids",2020-06-09," ","","",2.5,"2020",6
"154","Ellerbe Creek","EL1.9EC","Total Suspended Solids",2020-07-07," ","Yes","Partly Cloudy",3.2,"2020",7
"155","Ellerbe Creek","EL1.9EC","Total Suspended Solids",2020-08-04,"Heavy rains overnight from hurricane.","Yes","Partly Cloudy",202,"2020",8
"156","Ellerbe Creek","EL1.9EC","Total Suspended Solids",2020-09-01," ","Yes","Overcast",61.3,"2020",9
"157","Ellerbe Creek","EL1.9EC","Total Suspended Solids",2020-10-06," ","No","Sunny",2.5,"2020",10
"158","Ellerbe Creek","EL1.9EC","Total Suspended Solids",2020-11-03,"Duplicate Site Duplicate","No","Sunny",4.65,"2020",11
"159","Ellerbe Creek","EL1.9EC","Total Suspended Solids",2020-12-01," ","Yes","Sunny",17.6,"2020",12
"160","Ellerbe Creek","EL1.9EC","Turbidity",2019-01-08," ","No","Partly Cloudy",7.7,"2019",1
"161","Ellerbe Creek","EL1.9EC","Turbidity",2019-02-05," ","No","Sunny",5.5,"2019",2
"162","Ellerbe Creek","EL1.9EC","Turbidity",2019-03-05,"Duplicate Site","Yes","Overcast",22.3,"2019",3
"163","Ellerbe Creek","EL1.9EC","Turbidity",2019-04-02," ","No","Overcast",4.4,"2019",4
"164","Ellerbe Creek","EL1.9EC","Turbidity",2019-05-07," ","No","Partly Cloudy",10,"2019",5
"165","Ellerbe Creek","EL1.9EC","Turbidity",2019-06-05," ","No","Overcast",3.8,"2019",6
"166","Ellerbe Creek","EL1.9EC","Turbidity",2019-07-09," ","Yes","Overcast",9.6,"2019",7
"167","Ellerbe Creek","EL1.9EC","Turbidity",2019-08-06," ","Yes","Overcast",23.7,"2019",8
"168","Ellerbe Creek","EL1.9EC","Turbidity",2019-09-03," ","No","Sunny",2.7,"2019",9
"169","Ellerbe Creek","EL1.9EC","Turbidity",2019-10-01," ","No","Sunny",1.6,"2019",10
"170","Ellerbe Creek","EL1.9EC","Turbidity",2019-11-05,"Duplicate Site","No","Partly Cloudy",2.2,"2019",11
"171","Ellerbe Creek","EL1.9EC","Turbidity",2019-12-03,"Organic foam on water surfaace","No","Sunny",10.1,"2019",12
"172","Ellerbe Creek","EL1.9EC","Turbidity",2020-01-07," ","No","Overcast",11.7,"2020",1
"173","Ellerbe Creek","EL1.9EC","Turbidity",2020-02-04," ","No","Partly Cloudy",6.5,"2020",2
"174","Ellerbe Creek","EL1.9EC","Turbidity",2020-03-03," ","No","Overcast",4.5,"2020",3
"175","Ellerbe Creek","EL1.9EC","Turbidity",2020-05-12,"Due to COVID-19 safety constraints, only the Nutrient Loading sites were sampled in May 2020","No","Partly Cloudy",2.6,"2020",5
"176","Ellerbe Creek","EL1.9EC","Turbidity",2020-06-09,"Slight dead fish smell; Due to COVID-19 safety constraints, only the Nutrient Loading sites were sampled in May 2020 Slight dead fish smell; Due to COVID-19 safety constraints, only the Nutrient Loading sites were sampled in June 2020","No","Overcast",2.6,"2020",6
"177","Ellerbe Creek","EL1.9EC","Turbidity",2020-07-07," ","Yes","Partly Cloudy",4.2,"2020",7
"178","Ellerbe Creek","EL1.9EC","Turbidity",2020-08-04,"Heavy rains overnight from hurricane.","Yes","Partly Cloudy",196,"2020",8
"179","Ellerbe Creek","EL1.9EC","Turbidity",2020-09-01," ","Yes","Overcast",77,"2020",9
"180","Ellerbe Creek","EL1.9EC","Turbidity",2020-10-06," ","No","Sunny",2.1,"2020",10
"181","Ellerbe Creek","EL1.9EC","Turbidity",2020-11-03,"Duplicate Site","No","Sunny",8.1,"2020",11
"182","Ellerbe Creek","EL1.9EC","Turbidity",2020-12-01," ","Yes","Sunny",34.3,"2020",12
"183","Ellerbe Creek","EL1.9EC","Zinc",2019-01-08," ","No","Partly Cloudy",20.7,"2019",1
"184","Ellerbe Creek","EL1.9EC","Zinc",2019-02-05," ","No","Sunny",23.15,"2019",2
"185","Ellerbe Creek","EL1.9EC","Zinc",2019-03-05,"Duplicate Site Duplicate","Yes","Overcast",18.2,"2019",3
"186","Ellerbe Creek","EL1.9EC","Zinc",2019-04-02," ","No","Overcast",34.35,"2019",4
"187","Ellerbe Creek","EL1.9EC","Zinc",2019-05-07," ","No","Partly Cloudy",20.3,"2019",5
"188","Ellerbe Creek","EL1.9EC","Zinc",2019-06-05," ","No","Overcast",21.35,"2019",6
"189","Ellerbe Creek","EL1.9EC","Zinc",2019-07-09," ","Yes","Overcast",22.75,"2019",7
"190","Ellerbe Creek","EL1.9EC","Zinc",2019-08-06," ","Yes","Overcast",23.65,"2019",8
"191","Ellerbe Creek","EL1.9EC","Zinc",2019-09-03," ","No","Sunny",23.7,"2019",9
"192","Ellerbe Creek","EL1.9EC","Zinc",2019-10-01," ","No","Sunny",30.45,"2019",10
"193","Ellerbe Creek","EL1.9EC","Zinc",2019-11-05,"Duplicate Site Duplicate","No","Partly Cloudy",31.7,"2019",11
"194","Ellerbe Creek","EL1.9EC","Zinc",2019-12-03,"Organic foam on water surfaace","No","Sunny",31.65,"2019",12
"195","Ellerbe Creek","EL1.9EC","Zinc",2020-01-07," ","No","Overcast",27.4,"2020",1
"196","Ellerbe Creek","EL1.9EC","Zinc",2020-02-04," ","No","Partly Cloudy",28.2,"2020",2
"197","Ellerbe Creek","EL1.9EC","Zinc",2020-03-03,"Duplicate","No","Overcast",23.625,"2020",3
"198","Ellerbe Creek","EL1.9EC","Zinc",2020-05-12,"Due to COVID-19 safety constraints, only the Nutrient Loading sites were sampled in May 2020","No","Partly Cloudy",16.45,"2020",5
"199","Ellerbe Creek","EL1.9EC","Zinc",2020-08-04,"Heavy rains overnight from hurricane.","Yes","Partly Cloudy",23.585,"2020",8
"200","Ellerbe Creek","EL1.9EC","Zinc",2020-09-01," ","Yes","Overcast",16.105,"2020",9
"201","Ellerbe Creek","EL1.9EC","Zinc",2020-10-06," ","No","Sunny",17.185,"2020",10
"202","Ellerbe Creek","EL1.9EC","Zinc",2020-11-03,"Duplicate Site Duplicate","No","Sunny",13.185,"2020",11
"203","Ellerbe Creek","EL1.9EC","Zinc",2020-12-01," ","Yes","Sunny",12.19,"2020",12
"204","Ellerbe Creek","EL5.6EC","Copper",2019-01-08," ","No","Sunny",3.85,"2019",1
"205","Ellerbe Creek","EL5.6EC","Copper",2019-02-05," ","No","Sunny",2.9,"2019",2
"206","Ellerbe Creek","EL5.6EC","Copper",2019-03-05," ","Yes","Overcast",5,"2019",3
"207","Ellerbe Creek","EL5.6EC","Copper",2019-04-02,"Raining","Yes","Overcast",3.5,"2019",4
"208","Ellerbe Creek","EL5.6EC","Copper",2019-05-07,"Duplicate Site Duplicate","No","Partly Cloudy",4.775,"2019",5
"209","Ellerbe Creek","EL5.6EC","Copper",2019-06-05," ","No","Overcast",3.75,"2019",6
"210","Ellerbe Creek","EL5.6EC","Copper",2019-07-09," ","Yes","Overcast",5.45,"2019",7
"211","Ellerbe Creek","EL5.6EC","Copper",2019-08-06," ","Yes","Partly Cloudy",6.15,"2019",8
"212","Ellerbe Creek","EL5.6EC","Copper",2019-09-03," ","No","Sunny",2.55,"2019",9
"213","Ellerbe Creek","EL5.6EC","Copper",2019-10-01," ","No","Sunny",2.2,"2019",10
"214","Ellerbe Creek","EL5.6EC","Copper",2019-11-05,"Large blockage upstream of culvert","No","Partly Cloudy",4.45,"2019",11
"215","Ellerbe Creek","EL5.6EC","Copper",2019-12-03," ","No","Sunny",5.6,"2019",12
"216","Ellerbe Creek","EL5.6EC","Dissolved Oxygen",2019-01-08," ","No","Sunny",10.4,"2019",1
"217","Ellerbe Creek","EL5.6EC","Dissolved Oxygen",2019-02-05," ","No","Sunny",10.7,"2019",2
"218","Ellerbe Creek","EL5.6EC","Dissolved Oxygen",2019-03-05," ","Yes","Overcast",11.6,"2019",3
"219","Ellerbe Creek","EL5.6EC","Dissolved Oxygen",2019-04-02,"Raining","Yes","Overcast",9.9,"2019",4
"220","Ellerbe Creek","EL5.6EC","Dissolved Oxygen",2019-05-07,"Duplicate Site","No","Partly Cloudy",6.1,"2019",5
"221","Ellerbe Creek","EL5.6EC","Dissolved Oxygen",2019-06-05," ","No","Overcast",5.1,"2019",6
"222","Ellerbe Creek","EL5.6EC","Dissolved Oxygen",2019-07-09," ","Yes","Overcast",5.7,"2019",7
"223","Ellerbe Creek","EL5.6EC","Dissolved Oxygen",2019-08-06," ","Yes","Partly Cloudy",6.6,"2019",8
"224","Ellerbe Creek","EL5.6EC","Dissolved Oxygen",2019-09-03," ","No","Sunny",5.9,"2019",9
"225","Ellerbe Creek","EL5.6EC","Dissolved Oxygen",2019-10-01," ","No","Sunny",6.4,"2019",10
"226","Ellerbe Creek","EL5.6EC","Dissolved Oxygen",2019-11-05,"Large blockage upstream of culvert","No","Partly Cloudy",8.4,"2019",11
"227","Ellerbe Creek","EL5.6EC","Dissolved Oxygen",2019-12-03," ","No","Sunny",9.7,"2019",12
