Stream.Name,Station.Name,Parameter,Date,Comments,Rain.in.Last.24.Hours,Sky.Condition,Final_Value,Month,Year
Eno River,EN4.9ER,Copper,2020-01-07, ,No,Overcast,2.35,1,2020
Eno River,EN4.9ER,Copper,2020-02-04, ,No,Overcast,2,2,2020
Eno River,EN4.9ER,Copper,2020-03-03, ,No,Overcast,1.8,3,2020
Eno River,EN4.9ER,Copper,2020-08-04,Heavy rains overnight from hurricane.,Yes,Partly Cloudy,3.79,8,2020
Eno River,EN4.9ER,Copper,2020-09-01,Very high flow,Yes,Overcast,2.865,9,2020
Eno River,EN4.9ER,Copper,2020-10-06, ,No,Sunny,1.75,10,2020
Eno River,EN4.9ER,Copper,2020-11-03, ,No,Sunny,1.115,11,2020
Eno River,EN4.9ER,Copper,2020-12-01,Duplicate Site Duplicate,Yes,Sunny,3.835,12,2020
Eno River,EN4.9ER,Dissolved Oxygen,2020-01-07, ,No,Overcast,11.3,1,2020
Eno River,EN4.9ER,Dissolved Oxygen,2020-02-04, ,No,Overcast,10.7,2,2020
Eno River,EN4.9ER,Dissolved Oxygen,2020-03-03, ,No,Overcast,10.9,3,2020
Eno River,EN4.9ER,Dissolved Oxygen,2020-07-07, ,Yes,Partly Cloudy,5.7,7,2020
Eno River,EN4.9ER,Dissolved Oxygen,2020-08-04,Heavy rains overnight from hurricane.,Yes,Partly Cloudy,6.8,8,2020
Eno River,EN4.9ER,Dissolved Oxygen,2020-09-01,Very high flow,Yes,Overcast,6.8,9,2020
Eno River,EN4.9ER,Dissolved Oxygen,2020-10-06, ,No,Sunny,8.7,10,2020
Eno River,EN4.9ER,Dissolved Oxygen,2020-11-03, ,No,Sunny,9.8,11,2020
Eno River,EN4.9ER,Dissolved Oxygen,2020-12-01,Duplicate Site,Yes,Sunny,10.1,12,2020
Eno River,EN4.9ER,Fecal Coliform,2020-01-07, ,No,Overcast,440,1,2020
Eno River,EN4.9ER,Fecal Coliform,2020-02-04, ,No,Overcast,78,2,2020
Eno River,EN4.9ER,Fecal Coliform,2020-03-03, ,No,Overcast,110,3,2020
Eno River,EN4.9ER,Fecal Coliform,2020-07-07, ,Yes,Partly Cloudy,420,7,2020
Eno River,EN4.9ER,Fecal Coliform,2020-08-04,Heavy rains overnight from hurricane.,Yes,Partly Cloudy,36000,8,2020
Eno River,EN4.9ER,Fecal Coliform,2020-09-01,Very high flow,Yes,Overcast,27000,9,2020
Eno River,EN4.9ER,Fecal Coliform,2020-10-06, ,No,Sunny,140,10,2020
Eno River,EN4.9ER,Fecal Coliform,2020-11-03, ,No,Sunny,130,11,2020
Eno River,EN4.9ER,Fecal Coliform,2020-12-01,Duplicate Site Duplicate,Yes,Sunny,3375,12,2020
Eno River,EN4.9ER,pH,2020-01-07, ,No,Overcast,7.2,1,2020
Eno River,EN4.9ER,pH,2020-02-04, ,No,Overcast,6.4,2,2020
Eno River,EN4.9ER,pH,2020-03-03, ,No,Overcast,6.5,3,2020
Eno River,EN4.9ER,pH,2020-07-07, ,Yes,Partly Cloudy,6.8,7,2020
Eno River,EN4.9ER,pH,2020-08-04,Heavy rains overnight from hurricane.,Yes,Partly Cloudy,6.3,8,2020
Eno River,EN4.9ER,pH,2020-09-01,Very high flow,Yes,Overcast,6.5,9,2020
Eno River,EN4.9ER,pH,2020-10-06, ,No,Sunny,6.7,10,2020
Eno River,EN4.9ER,pH,2020-11-03, ,No,Sunny,6.7,11,2020
Eno River,EN4.9ER,pH,2020-12-01,Duplicate Site,Yes,Sunny,6.2,12,2020
Eno River,EN4.9ER,Temperature,2020-01-07, ,No,Overcast,6.6,1,2020
Eno River,EN4.9ER,Temperature,2020-02-04, ,No,Overcast,8.6,2,2020
Eno River,EN4.9ER,Temperature,2020-03-03, ,No,Overcast,9.9,3,2020
Eno River,EN4.9ER,Temperature,2020-07-07, ,Yes,Partly Cloudy,26.9,7,2020
Eno River,EN4.9ER,Temperature,2020-08-04,Heavy rains overnight from hurricane.,Yes,Partly Cloudy,24.3,8,2020
Eno River,EN4.9ER,Temperature,2020-09-01,Very high flow,Yes,Overcast,25,9,2020
Eno River,EN4.9ER,Temperature,2020-10-06, ,No,Sunny,15.6,10,2020
Eno River,EN4.9ER,Temperature,2020-11-03, ,No,Sunny,10.7,11,2020
Eno River,EN4.9ER,Temperature,2020-12-01,Duplicate Site,Yes,Sunny,12.3,12,2020
Eno River,EN4.9ER,Total Phosphorus,2020-01-07, ,No,Overcast,0.1,1,2020
Eno River,EN4.9ER,Total Phosphorus,2020-02-04, ,No,Overcast,0.04,2,2020
Eno River,EN4.9ER,Total Phosphorus,2020-03-03, ,No,Overcast,0.04,3,2020
Eno River,EN4.9ER,Total Phosphorus,2020-07-07, ,Yes,Partly Cloudy,0.01,7,2020
Eno River,EN4.9ER,Total Phosphorus,2020-08-04,Heavy rains overnight from hurricane.,Yes,Partly Cloudy,0.05,8,2020
Eno River,EN4.9ER,Total Phosphorus,2020-09-01,Very high flow,Yes,Overcast,0.2,9,2020
Eno River,EN4.9ER,Total Phosphorus,2020-10-06, ,No,Sunny,0.003,10,2020
Eno River,EN4.9ER,Total Phosphorus,2020-11-03, ,No,Sunny,0.13,11,2020
Eno River,EN4.9ER,Total Phosphorus,2020-12-01,Duplicate Site Duplicate,Yes,Sunny,0.065,12,2020
Eno River,EN4.9ER,Total Suspended Solids,2020-01-07, ,No,Overcast,10.2,1,2020
Eno River,EN4.9ER,Total Suspended Solids,2020-02-04, ,No,Overcast,6.9,2,2020
Eno River,EN4.9ER,Total Suspended Solids,2020-03-03, ,No,Overcast,3.5,3,2020
Eno River,EN4.9ER,Total Suspended Solids,2020-07-07, ,Yes,Partly Cloudy,5,7,2020
Eno River,EN4.9ER,Total Suspended Solids,2020-08-04,Heavy rains overnight from hurricane.,Yes,Partly Cloudy,105,8,2020
Eno River,EN4.9ER,Total Suspended Solids,2020-09-01,Very high flow,Yes,Overcast,86.2,9,2020
Eno River,EN4.9ER,Total Suspended Solids,2020-10-06, ,No,Sunny,6.7,10,2020
Eno River,EN4.9ER,Total Suspended Solids,2020-11-03, ,No,Sunny,2.8,11,2020
Eno River,EN4.9ER,Total Suspended Solids,2020-12-01,Duplicate Site Duplicate,Yes,Sunny,50.7,12,2020
Eno River,EN4.9ER,Turbidity,2020-01-07, ,No,Overcast,23.1,1,2020
Eno River,EN4.9ER,Turbidity,2020-02-04, ,No,Overcast,16.1,2,2020
Eno River,EN4.9ER,Turbidity,2020-03-03, ,No,Overcast,8.2,3,2020
Eno River,EN4.9ER,Turbidity,2020-07-07, ,Yes,Partly Cloudy,10.6,7,2020
Eno River,EN4.9ER,Turbidity,2020-08-04,Heavy rains overnight from hurricane.,Yes,Partly Cloudy,137,8,2020
Eno River,EN4.9ER,Turbidity,2020-09-01,Very high flow,Yes,Overcast,83,9,2020
Eno River,EN4.9ER,Turbidity,2020-10-06, ,No,Sunny,11.1,10,2020
Eno River,EN4.9ER,Turbidity,2020-11-03, ,No,Sunny,6.9,11,2020
Eno River,EN4.9ER,Turbidity,2020-12-01,Duplicate Site,Yes,Sunny,58.3,12,2020
Eno River,EN4.9ER,Zinc,2020-01-07, ,No,Overcast,5.35,1,2020
Eno River,EN4.9ER,Zinc,2020-02-04, ,No,Overcast,6.35,2,2020
Eno River,EN4.9ER,Zinc,2020-03-03, ,No,Overcast,4.4,3,2020
Eno River,EN4.9ER,Zinc,2020-08-04,Heavy rains overnight from hurricane.,Yes,Partly Cloudy,4.895,8,2020
Eno River,EN4.9ER,Zinc,2020-09-01,Very high flow,Yes,Overcast,4.9,9,2020
Eno River,EN4.9ER,Zinc,2020-10-06, ,No,Sunny,1.6099999999999999,10,2020
Eno River,EN4.9ER,Zinc,2020-11-03, ,No,Sunny,0.45999999999999996,11,2020
Eno River,EN4.9ER,Zinc,2020-12-01,Duplicate Site Duplicate,Yes,Sunny,4.5675,12,2020
Eno River,EN8.9ER,Copper,2019-01-15,Duplicate Site Duplicate,No,Partly Cloudy,1.5,1,2019
Eno River,EN8.9ER,Copper,2019-02-12, ,Yes,Partly Cloudy,1.25,2,2019
Eno River,EN8.9ER,Copper,2019-03-12, ,Yes,Partly Cloudy,1.65,3,2019
Eno River,EN8.9ER,Copper,2019-04-09,Sample taken near bank due to very high stage,Yes,Overcast,4.095000000000001,4,2019
Eno River,EN8.9ER,Copper,2019-05-14, ,Yes,Sunny,1.55,5,2019
Eno River,EN8.9ER,Copper,2019-06-11,High flow,Yes,Sunny,3.5,6,2019
Eno River,EN8.9ER,Copper,2019-07-16,Duplicate Site Duplicate,Yes,Sunny,1.825,7,2019
Eno River,EN8.9ER,Copper,2019-08-13, ,No,Sunny,1.5,8,2019
Eno River,EN8.9ER,Copper,2019-09-10, ,No,Partly Cloudy,1.9500000000000002,9,2019
Eno River,EN8.9ER,Copper,2019-10-08, ,No,Overcast,1.1,10,2019
Eno River,EN8.9ER,Copper,2019-11-12,Raining,Yes,Overcast,1.8,11,2019
Eno River,EN8.9ER,Copper,2019-12-04, ,No,Sunny,1.95,12,2019
Eno River,EN8.9ER,Copper,2020-01-07,raining,Yes,Overcast,2.1500000000000004,1,2020
Eno River,EN8.9ER,Copper,2020-02-04,starting to rain,Yes,Overcast,2.55,2,2020
Eno River,EN8.9ER,Copper,2020-03-03, ,No,Overcast,1.1,3,2020
Eno River,EN8.9ER,Copper,2020-05-12,"Duplicate Site; Due to COVID-19 safety constraints, only the Nutrient Loading sites were sampled in May 2020 Duplicate",No,Partly Cloudy,1.575,5,2020
Eno River,EN8.9ER,Copper,2020-08-04,Heavy rains overnight from hurricane.,Yes,Overcast,2.875,8,2020
Eno River,EN8.9ER,Copper,2020-09-01,very high flow,Yes,Overcast,1.6949999999999998,9,2020
Eno River,EN8.9ER,Copper,2020-10-06, ,No,Sunny,1.55,10,2020
Eno River,EN8.9ER,Copper,2020-11-03, ,No,Sunny,1.24,11,2020
Eno River,EN8.9ER,Copper,2020-12-01, ,Yes,Partly Cloudy,3.1950000000000003,12,2020
Eno River,EN8.9ER,Dissolved Oxygen,2019-01-15,Duplicate Site,No,Partly Cloudy,12.1,1,2019
Eno River,EN8.9ER,Dissolved Oxygen,2019-02-12, ,Yes,Partly Cloudy,12.2,2,2019
Eno River,EN8.9ER,Dissolved Oxygen,2019-03-12, ,Yes,Partly Cloudy,10.5,3,2019
Eno River,EN8.9ER,Dissolved Oxygen,2019-04-09,Sample taken near bank due to very high stage,Yes,Overcast,9.2,4,2019
Eno River,EN8.9ER,Dissolved Oxygen,2019-05-14, ,Yes,Sunny,8.2,5,2019
Eno River,EN8.9ER,Dissolved Oxygen,2019-06-11,High flow,Yes,Sunny,8,6,2019
Eno River,EN8.9ER,Dissolved Oxygen,2019-07-16,Duplicate Site,Yes,Sunny,6.4,7,2019
Eno River,EN8.9ER,Dissolved Oxygen,2019-08-13, ,No,Sunny,6.8,8,2019
Eno River,EN8.9ER,Dissolved Oxygen,2019-09-10, ,No,Partly Cloudy,6.8,9,2019
Eno River,EN8.9ER,Dissolved Oxygen,2019-10-08, ,No,Overcast,7,10,2019
Eno River,EN8.9ER,Dissolved Oxygen,2019-11-12,Raining,Yes,Overcast,10.1,11,2019
Eno River,EN8.9ER,Dissolved Oxygen,2019-12-04, ,No,Sunny,11.3,12,2019
Eno River,EN8.9ER,Dissolved Oxygen,2020-01-07,raining,Yes,Overcast,11.5,1,2020
Eno River,EN8.9ER,Dissolved Oxygen,2020-02-04,starting to rain,Yes,Overcast,11.5,2,2020
Eno River,EN8.9ER,Dissolved Oxygen,2020-03-03, ,No,Overcast,11.2,3,2020
Eno River,EN8.9ER,Dissolved Oxygen,2020-05-12,"Duplicate Site; Due to COVID-19 safety constraints, only the Nutrient Loading sites were sampled in May 2020",No,Partly Cloudy,9.3,5,2020
Eno River,EN8.9ER,Dissolved Oxygen,2020-06-09,"Due to COVID-19 safety constraints, only the Nutrient Loading sites were sampled in May 2020 Due to COVID-19 safety constraints, only the Nutrient Loading sites were sampled in June 2020",No,Overcast,7.3,6,2020
Eno River,EN8.9ER,Dissolved Oxygen,2020-07-07, ,Yes,Partly Cloudy,6.9,7,2020
Eno River,EN8.9ER,Dissolved Oxygen,2020-08-04,Heavy rains overnight from hurricane.,Yes,Overcast,7.6,8,2020
Eno River,EN8.9ER,Dissolved Oxygen,2020-09-01,very high flow,Yes,Overcast,7.4,9,2020
Eno River,EN8.9ER,Dissolved Oxygen,2020-10-06, ,No,Sunny,9.1,10,2020
Eno River,EN8.9ER,Dissolved Oxygen,2020-11-03, ,No,Sunny,10.5,11,2020
Eno River,EN8.9ER,Dissolved Oxygen,2020-12-01, ,Yes,Partly Cloudy,10.9,12,2020
Eno River,EN8.9ER,Fecal Coliform,2019-01-15,Duplicate Site Duplicate,No,Partly Cloudy,336.5,1,2019
Eno River,EN8.9ER,Fecal Coliform,2019-02-12, ,Yes,Partly Cloudy,340,2,2019
Eno River,EN8.9ER,Fecal Coliform,2019-03-12, ,Yes,Partly Cloudy,32,3,2019
Eno River,EN8.9ER,Fecal Coliform,2019-04-09,Sample taken near bank due to very high stage,Yes,Overcast,4800,4,2019
Eno River,EN8.9ER,Fecal Coliform,2019-05-14, ,Yes,Sunny,96,5,2019
Eno River,EN8.9ER,Fecal Coliform,2019-06-11,High flow,Yes,Sunny,1160,6,2019
Eno River,EN8.9ER,Fecal Coliform,2019-07-16,Duplicate Site Duplicate,Yes,Sunny,130,7,2019
Eno River,EN8.9ER,Fecal Coliform,2019-08-13, ,No,Sunny,50,8,2019
Eno River,EN8.9ER,Fecal Coliform,2019-09-10, ,No,Partly Cloudy,108,9,2019
Eno River,EN8.9ER,Fecal Coliform,2019-10-08, ,No,Overcast,20,10,2019
Eno River,EN8.9ER,Fecal Coliform,2019-11-12,Raining,Yes,Overcast,106,11,2019
Eno River,EN8.9ER,Fecal Coliform,2019-12-04, ,No,Sunny,180,12,2019
Eno River,EN8.9ER,Fecal Coliform,2020-01-07,raining,Yes,Overcast,920,1,2020
Eno River,EN8.9ER,Fecal Coliform,2020-02-04,starting to rain,Yes,Overcast,84,2,2020
Eno River,EN8.9ER,Fecal Coliform,2020-03-03, ,No,Overcast,15,3,2020
Eno River,EN8.9ER,Fecal Coliform,2020-05-12,"Duplicate Site; Due to COVID-19 safety constraints, only the Nutrient Loading sites were sampled in May 2020 Duplicate",No,Partly Cloudy,102.5,5,2020
Eno River,EN8.9ER,Fecal Coliform,2020-06-09, ,,,123,6,2020
Eno River,EN8.9ER,Fecal Coliform,2020-07-07, ,Yes,Partly Cloudy,640,7,2020
Eno River,EN8.9ER,Fecal Coliform,2020-08-04,Heavy rains overnight from hurricane.,Yes,Overcast,28000,8,2020
Eno River,EN8.9ER,Fecal Coliform,2020-09-01,very high flow,Yes,Overcast,13000,9,2020
Eno River,EN8.9ER,Fecal Coliform,2020-10-06, ,No,Sunny,115,10,2020
Eno River,EN8.9ER,Fecal Coliform,2020-11-03, ,No,Sunny,145,11,2020
Eno River,EN8.9ER,Fecal Coliform,2020-12-01, ,Yes,Partly Cloudy,3000,12,2020
Eno River,EN8.9ER,pH,2019-01-15,Duplicate Site,No,Partly Cloudy,6.1,1,2019
Eno River,EN8.9ER,pH,2019-02-12, ,Yes,Partly Cloudy,6.6,2,2019
Eno River,EN8.9ER,pH,2019-03-12, ,Yes,Partly Cloudy,7,3,2019
Eno River,EN8.9ER,pH,2019-04-09,Sample taken near bank due to very high stage,Yes,Overcast,7.1,4,2019
Eno River,EN8.9ER,pH,2019-05-14, ,Yes,Sunny,7.5,5,2019
Eno River,EN8.9ER,pH,2019-06-11,High flow,Yes,Sunny,6.8,6,2019
Eno River,EN8.9ER,pH,2019-07-16,Duplicate Site,Yes,Sunny,7.4,7,2019
Eno River,EN8.9ER,pH,2019-08-13, ,No,Sunny,7.1,8,2019
Eno River,EN8.9ER,pH,2019-09-10, ,No,Partly Cloudy,7,9,2019
Eno River,EN8.9ER,pH,2019-10-08, ,No,Overcast,6.8,10,2019
Eno River,EN8.9ER,pH,2019-11-12,Raining,Yes,Overcast,6.4,11,2019
Eno River,EN8.9ER,pH,2019-12-04, ,No,Sunny,5.9,12,2019
Eno River,EN8.9ER,pH,2020-01-07,raining,Yes,Overcast,7.1,1,2020
Eno River,EN8.9ER,pH,2020-02-04,starting to rain,Yes,Overcast,6.4,2,2020
Eno River,EN8.9ER,pH,2020-03-03, ,No,Overcast,6.6,3,2020
Eno River,EN8.9ER,pH,2020-05-12,"Duplicate Site; Due to COVID-19 safety constraints, only the Nutrient Loading sites were sampled in May 2020",No,Partly Cloudy,7.4,5,2020
Eno River,EN8.9ER,pH,2020-06-09,"Due to COVID-19 safety constraints, only the Nutrient Loading sites were sampled in May 2020 Due to COVID-19 safety constraints, only the Nutrient Loading sites were sampled in June 2020",No,Overcast,7.1,6,2020
Eno River,EN8.9ER,pH,2020-07-07, ,Yes,Partly Cloudy,7,7,2020
Eno River,EN8.9ER,pH,2020-08-04,Heavy rains overnight from hurricane.,Yes,Overcast,6.6,8,2020
Eno River,EN8.9ER,pH,2020-09-01,very high flow,Yes,Overcast,7,9,2020
Eno River,EN8.9ER,pH,2020-10-06, ,No,Sunny,7,10,2020
Eno River,EN8.9ER,pH,2020-11-03, ,No,Sunny,6.8,11,2020
Eno River,EN8.9ER,pH,2020-12-01, ,Yes,Partly Cloudy,6.2,12,2020
Eno River,EN8.9ER,Temperature,2019-01-15,Duplicate Site,No,Partly Cloudy,6,1,2019
Eno River,EN8.9ER,Temperature,2019-02-12, ,Yes,Partly Cloudy,8,2,2019
Eno River,EN8.9ER,Temperature,2019-03-12, ,Yes,Partly Cloudy,10.4,3,2019
Eno River,EN8.9ER,Temperature,2019-04-09,Sample taken near bank due to very high stage,Yes,Overcast,17,4,2019
Eno River,EN8.9ER,Temperature,2019-05-14, ,Yes,Sunny,20,5,2019
Eno River,EN8.9ER,Temperature,2019-06-11,High flow,Yes,Sunny,23.9,6,2019
Eno River,EN8.9ER,Temperature,2019-07-16,Duplicate Site,Yes,Sunny,29.6,7,2019
Eno River,EN8.9ER,Temperature,2019-08-13, ,No,Sunny,28,8,2019
Eno River,EN8.9ER,Temperature,2019-09-10, ,No,Partly Cloudy,26.1,9,2019
Eno River,EN8.9ER,Temperature,2019-10-08, ,No,Overcast,22,10,2019
Eno River,EN8.9ER,Temperature,2019-11-12,Raining,Yes,Overcast,9.4,11,2019
Eno River,EN8.9ER,Temperature,2019-12-04, ,No,Sunny,7.4,12,2019
Eno River,EN8.9ER,Temperature,2020-01-07,raining,Yes,Overcast,6.7,1,2020
Eno River,EN8.9ER,Temperature,2020-02-04,starting to rain,Yes,Overcast,8.8,2,2020
Eno River,EN8.9ER,Temperature,2020-03-03, ,No,Overcast,14.3,3,2020
Eno River,EN8.9ER,Temperature,2020-05-12,"Duplicate Site; Due to COVID-19 safety constraints, only the Nutrient Loading sites were sampled in May 2020",No,Partly Cloudy,15.6,5,2020
Eno River,EN8.9ER,Temperature,2020-06-09,"Due to COVID-19 safety constraints, only the Nutrient Loading sites were sampled in May 2020 Due to COVID-19 safety constraints, only the Nutrient Loading sites were sampled in June 2020",No,Overcast,25.2,6,2020
Eno River,EN8.9ER,Temperature,2020-07-07, ,Yes,Partly Cloudy,25.1,7,2020
Eno River,EN8.9ER,Temperature,2020-08-04,Heavy rains overnight from hurricane.,Yes,Overcast,24.6,8,2020
Eno River,EN8.9ER,Temperature,2020-09-01,very high flow,Yes,Overcast,25.3,9,2020
Eno River,EN8.9ER,Temperature,2020-10-06, ,No,Sunny,16.1,10,2020
Eno River,EN8.9ER,Temperature,2020-11-03, ,No,Sunny,10.8,11,2020
Eno River,EN8.9ER,Temperature,2020-12-01, ,Yes,Partly Cloudy,12.2,12,2020
Eno River,EN8.9ER,Total Phosphorus,2019-01-15,Duplicate Site Duplicate,No,Partly Cloudy,0.055,1,2019
